Title,Description,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Corporate Contributor,Corporate Contributor Role,Event Contributor,Table of Contents,Topical Subject,Topical Subject,Genre,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Title Subject,Temporal Subject,Language,Extent,Preferred Citation,Copyright Statement,Reuse Permissions,Handle,Legacy System ID,ID,System Creator,Peer-reviewed,Open Access,Series,Date Created,Copyright Date,Date Digitized,Edition,Issuance,Frequency,Collaborating Institution,Statement of Responsibility,Model,Parent Collection,Parent Item,Visibility,Additional Memberships,Place of Publication Text,Place of Publication Code,Coordinates,Related Item,Note,Identifier,Cataloging Standards,Complex Object Child,File Location,Derivative File Permissions,Original File Permissions,Description Source,Embargo Release Date,Level of Coding,File Location
"""Hometowner"" Interview with Sergeant Reese L. Brewer","Interview with Sergeant Reese L. Brewer (Pinedale, Arizona), who was stationed in Luzon with the 43rd ""Winged Victory"" Infantry Division.","Pyle, Howard, 1906-1987",Interviewer,"Brewer, Reese Lorenzo, 1924-2007",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 43rd",,,,,eng,0:02:09,"""Hometowner"" Interview with Sergeant Reese L. Brewer,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15315,15315,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 19.2,,0,,Public,Public,,,,
General Douglas MacArthur Speech,Address by General Douglas MacArthur at the Special Session of the 1st Congress of the Philippines with Pyle's reporting.,"Pyle, Howard, 1906-1987",Reporter,"MacArthur, Douglas, 1880-1964",Speaker,,,,,,,,,,,,,,,"World War, 1939-1945",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Philippines -- History -- 1898-1946,,,,,,eng,0:23:33,"""General Douglas MacArthur Speech,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,3,egdunham,0,0,,1945-07-13,,,,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
General Douglas MacArthur Speech (Part 1),Address by General Douglas MacArthur at the Special Session of the 1st Congress of the Philippines with Pyle's reporting.,"Pyle, Howard, 1906-1987",Reporter,"MacArthur, Douglas, 1880-1964",Speaker,,,,,,,,,,,,,,,"World War, 1939-1945",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Philippines -- History -- 1898-1946,,,,,,eng,0:13:55,"""General Douglas MacArthur Speech (Part 1),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15316,15316,egdunham,0,0,,1945-07-13,,,,,,,,Audio,,3,1,,,,,,,Track 20,,1,,Public,Public,,,,
General Douglas MacArthur Speech (Part 2),Address by General Douglas MacArthur at the Special Session of the 1st Congress of the Philippines with a wrap-up by Pyle.,"Pyle, Howard, 1906-1987",Reporter,"MacArthur, Douglas, 1880-1964",Speaker,,,,,,,,,,,,,,,"World War, 1939-1945",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Philippines -- History -- 1898-1946,,,,,,eng,0:09:38,"""General Douglas MacArthur Speech (Part 2),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15318,15318,egdunham,0,0,,1945-07-13,,,,,,,,Audio,,3,1,,,,,,,Track 22,,1,,Public,Public,,,,
"""Cut Number Six ...""",Provides an overview of the appearance and condition of Manila before and after World War II.,"Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Manila (Philippines),,,,,,eng,0:10:34,"""'Cut Number Six ...',"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15317,15317,egdunham,0,0,,1945?,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 21,,0,,Public,Public,,,,
Interview with K. A. Piersson,"Piersson recounts his perceptions and experiences during the Japanese occupation of Manila, speculates on prospects for the future of the Philippines, and describes the qualities of the American soldier.","Pyle, Howard, 1906-1987",Interviewer,"Piersson, K. A.",Interviewee,,,,,,,,,,,,,,,"World War, 1939-1945 -- Campaigns -- Philippines",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Philippines -- History -- 1898-1946,,,,,,eng,0:14:28,"""Interview with K. A. Piersson,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15319,15319,egdunham,0,0,,1945?,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 23,,0,,Public,Public,,,,
Interview with Lt. Matilda Yanez,"Pyle and Yanez discuss available clothing, “shoe stamps” in the US, Filipino children, and hospital care.","Pyle, Howard, 1906-1987",Interviewer,"Yanez, Matilda",Interviewee,,,,,,,,,,,,,,,"World War, 1939-1945 -- Medical care",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Philippines -- History -- 1898-1946,,,,,,eng,0:04:55,"""Interview with Lt. Matilda Yanez,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15320,15320,egdunham,0,0,,1945-06-17,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 24,,0,,Public,Public,,,,
Interviews with Arizona Army Nurses,"Pyle interviews Lt. Laura Celaya (Tempe, Arizona) of the 120th General Hospital and Lt. Mary Ellen Smith (Buckeye, Arizona) of the 80th General Hospital.","Pyle, Howard, 1906-1987",Interviewer,"Celaya, Laura Frances, 1910-2002",Interviewee,"Smith, Mary Ellen",Interviewee,,,,,,,,,,,,,"World War, 1939-1945 -- Medical care",Military nursing,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. General Hospital, 120th","United States. Army. General Hospital, 80th",,,,eng,0:11:22,"""Interviews with Arizona Army Nurses,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15356,15356,egdunham,0,0,,1945-08-09,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 25,,0,,Public,Public,,,,
Interviews with Arizona Army Nurses,"Pyle interviews Lt. Agnes Mitchell (Chinle, Arizona) of the 80th General Hospital and Lt. Doris Norberg (Warren, Arizona) of the 313th General Hospital.  Norberg met her fiance at Fort Huachuca.","Pyle, Howard, 1906-1987",Interviewer,"Sanchez, Agnes Rose Mitchell, 1918-2006",Interviewee,"Barnes, Doris Irene Norberg, 1915-2005",Interviewee,,,,,,,,,,,,,"World War, 1939-1945 -- Medical care",Military nursing,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. General Hospital, 313th","United States. Army. General Hospital, 80th",,,,eng,0:11:40,"""Interviews with Arizona Army Nurses,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15357,15357,egdunham,0,0,,1945-08-09,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 26,,0,,Public,Public,,,,
GHQ Hometowners Program,"Pyle interviews Manuel Moreno Caballeros (Patagonia, Arizona) and Lt. John P. Diaz (Phoenix, Arizona).  Diaz graduated from Arizona State College in 1942.  Pyle also summarizes and wraps up the 158th Infantry series.  This recording is broadcast #9 in the 158th Regimental Combat Team series.","Pyle, Howard, 1906-1987",Interviewer,"Caballeros, Manuel Moreno, 1924-2003",Interviewee,"Diaz, John P.",Interviewee,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Participation, Mexican American","World War, 1939-1945 -- Personal narratives, American",sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Regiment, 158th",,,,,eng,0:11:13,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15358,15358,egdunham,0,0,,1945-08-04,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 27,,0,,Public,Public,,,,
GHQ Hometowners Program,"Pyle interviews Rudolph Caballero (Benson, Arizona), Leon G. Gailey (Litchfield Park, Arizona), Raul L. Vasquez (Tempe, Arizona), and Captain Marcus N. Gewinner (Atlanta, Georgia) regarding the Arizona Bushmasters.  This broadcast is #7 in the 158th Regimental Combat Team series and was made from the Legaspi area of southern Luzon.","Pyle, Howard, 1906-1987",Interviewer,"Caballero, Rudolph Cota, 1915-2009",Interviewee,"Gailey, Leon George, 1919-2007",Interviewee,"Vasquez, Raul Lara, 1926-2011",Interviewee,"Gewinner, Marcus Napoleon, 1919-2000",Interviewee,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Participation, Mexican American","World War, 1939-1945 -- Personal narratives, American",sound recordings|http://vocab.getty.edu/page/aat/300028633,Luzon (Philippines),"United States. Army. Infantry Regiment, 158th",,,,,eng,0:07:54,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15359,15359,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 28,,0,,Public,Public,,,,
GHQ Hometowners Program,Pyle interviews General Hanford MacNider of the 158th Regimental Combat Team.  This broadcast is #8 in the 158th Regimental Combat Team series and was made from the 158th's headquarters at Luzon.,"Pyle, Howard, 1906-1987",Interviewer,"MacNider, Hanford, 1889-1968",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Personal narratives, American",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Luzon (Philippines),"United States. Army. Infantry Regiment, 158th",,,,,eng,0:10:48,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15360,15360,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 29,,0,,Public,Public,,,,
GHQ Hometowners Program,"Pyle interviews Manuel Morales (Tucson, Arizona), Charles H. Lovett (Coolidge, Arizona), Emmanuel Bustamante (Tempe, Arizona), and Leonardo Hernandez (Nogales, Arizona).  These soldiers were part of the 2nd Battalion of the 158th Regimental Combat Team.  This broadcast is #6 in the 158th Regimental Combat Team series and was made from Noga in southern Luzon.","Pyle, Howard, 1906-1987",Interviewer,"Morales, Manuel",Interviewee,"Lovett, Charles H.",Interviewee,"Bustamante, Emmanuel",Interviewee,"Hernandez, Leonardo Marquez, 1925-1997",Interviewee,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Participation, Mexican American","World War, 1939-1945 -- Personal narratives, American",sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Regiment, 158th",,,,,eng,0:09:50,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15361,15361,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 30,,0,,Public,Public,,,,
GHQ Hometowners Program,"Pyle interviews Lt. Horace Damon (Glasgow, Montana) on the rifle range.  Damon describes the practice firing routine for 50mm anti-tank guns.  This broadcast is #5 in the 158th Regimental Combat Team series.","Pyle, Howard, 1906-1987",Interviewer,"Damon, Horace",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Personal narratives, American",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Regiment, 158th",,,,,eng,0:11:45,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15362,15362,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 31,,0,,Public,Public,,,,
Interview with a Soldier Wounded at Iwo Jima,"Marine PFC Gene Whitworth interviews Private H. Dwight Woodward (Apache, Oklahoma) and Private Weaver (Altoona, Pennsylvania) from a hospital in “the Hawaii area.”","Whitworth, Gene",Interviewer,"Woodward, Harold Dwight, 1926-2020",Interviewee,,,,,,,,,,,,,,,"Iwo Jima, Battle of, Japan, 1945 -- Personal narratives, American",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:05:58,"""Interview with a Soldier Wounded at Iwo Jima,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15363,15363,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 32,,0,,Public,Public,,,,
"""What is Right for America?""","Howard Pyle delivered this speech, which discusses the ""vanishing American"" and references Herbert Hoover, at the 1952 Republican National Convention.","Pyle, Howard, 1906-1987",Speaker,,,,,,,,,,,,,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"Republican National Convention (25th : 1952 : Chicago, Ill.)",,"Hoover, Herbert, 1874-1964",,,eng,0:25:17,"""What is Right for America?"", Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,4,egdunham,0,0,,1952,,,,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
"""What is Right for America?"" (Part 1)","Howard Pyle delivered this speech, which discusses the ""vanishing American"" and references Herbert Hoover, at the 1952 Republican National Convention.","Pyle, Howard, 1906-1987",Speaker,,,,,,,,,,,,,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"Republican National Convention (25th : 1952 : Chicago, Ill.)",,"Hoover, Herbert, 1874-1964",,,eng,0:14:44,"""What is Right for America? (Part 1)"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15364,15364,egdunham,0,0,,1952,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,4,1,,,,,,,Track 33,,1,,Public,Public,,,,
"""What is Right for America?"" (Part 2)","Howard Pyle delivered this speech, which discusses the ""vanishing American"" and references Herbert Hoover, at the 1952 Republican National Convention.  An unidentified narrator appears at the end of this track.","Pyle, Howard, 1906-1987",Speaker,,,,,,,,,,,,,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"Republican National Convention (25th : 1952 : Chicago, Ill.)",,,,,eng,0:10:33,"""What is Right for America? (Part 2)"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15365,15365,egdunham,0,0,,1952,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,4,1,,,,,,,Track 34,,1,,Public,Public,,,,
Interviews with four WACs from Arizona,"Pyle interviews Corporal Alice Whitlow (Prescott, Arizona), Corporal Katherine Paxton (Douglas, Arizona), Private Jamie Bulliss (San Carlos, Arizona), and Private Lucy Ann Robles (Tucson, Arizona).","Pyle, Howard, 1906-1987",Interviewer,"Whitlow, Alice H., 1919-",Interviewee,"Paxton, Katherine Adele, 1909-1972",Interviewee,"Bulliss, Jamie",Interviewee,"Robles, Lucy Ann, 1919-",Interviewee,,,,,,,,,"World War, 1939-1945 -- Participation, Female",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,United States. Army. Women's Army Corps,,,,,eng,0:11:33,"""Interviews with four WACs from Arizona,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15366,15366,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 35,,0,,Public,Public,,,,
"Howard Pyle Narrative Regarding ""GI Joe""",This presentation provides a generalized description of the soldier's life in the Philippines.,"Pyle, Howard, 1906-1987",Speaker,,,,,,,,,,,,,,,,,"World War, 1939-1945",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:11:21,"""Howard Pyle Narrative Regarding ""GI Joe"","" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15367,15367,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 36,,0,,Public,Public,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
