ID,Title,Description,"Personal Contributor","Corporate Contributor","Event Contributor","Topical Subject","Geographic Subject","Personal Name Subject","Title Subject","Temporal Subject",Genre,"Table Of Contents",Language,Extent,"Preferred Citation","Copyright Statement","Reuse Permissions",Handle,"Legacy Identifier","System Creator","Date Created",Peer-reviewed,"Open Access",Series,"Copyright Date","Date Digitized",Edition,Frequency,Issuance,"Related Item","Collaborating Institution","Complex Object Child",Model,"Statement of Responsibility","Parent Item","Parent Collection","Additional Memberships",Coordinates,Note,"Place of Publication Code","Place of Publication Text",Identifier,"Cataloging Standards","Derivative File Permissions","Original File Permissions","Description Source","Embargo Release Date","Level of Coding",Visibility
5676,"|Motivational Interviewing Education for Nurse Practitioners Providing Obesity Management|","<p>Purpose: This project examined the effectiveness of an online educational module on basic Motivational Interviewing (MI) techniques for Nurse Practitioners (NPs) providing obesity management to middle-aged women.</p>
<p>Background:  Middle-aged women experience distinct physiological and psychosocial factors that contribute to weight gain and make obesity management especially challenging. The evidence supports the use of motivational interviewing (MI) interventions as a highly effective approach to obesity management in combination with standard medical weight loss programs.  Educating NPs that provide medical weight loss on basic MI counseling techniques is necessary to facilitate the use of this intervention.</p>
<p>Methods: NP providers at a group of seven medical weight loss clinics in the southwestern United States completed an online MI educational module that was developed for this project.  The module content covered basic MI counseling techniques. MI knowledge was assessed using a 6-item pre/post-test. Participants completed an 8-item course evaluation to provide additional feedback. </p>
<p>Results: Ten of the 13 NPs eligible participated in the project. The overall response to the project was positive as demonstrated by high scores on the course evaluation. The average post-test knowledge scores increased after completion of the module, however no statistical significance was noted. <br />Conclusions: The basic MI education module was beneficial for NPs providing obesity management and future research should focus on developing standardized MI weight loss interventions.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Overweight women|http://id.loc.gov/authorities/subjects/sh89004327 || Obesity -- Treatment || Motivational interviewing|http://id.loc.gov/authorities/subjects/sh2006005865 || Medical personnel -- In-service training",,,,,,,English,"67 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.37992,37992,Anonymous,"05/02/2016 - 10:52",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5677,"|Near-Infrared Spectroscopy Monitoring in the Neonatal Intensive Care Unit|Changing provider comfort and confidence","<p>Purpose: The purpose of this quality improvement (QI) project was to assess provider (MD and Neonatal Nurse Practitioners (NNP)) comfort and confidence with Near-infrared Spectroscopy (NIRS) monitoring on Newborn Intensive Care Unit (NICU) patients when provided with an educational teaching session.</p>
<p>Background and Significance: NIRS data can be used in conjunction with standard vital sign monitoring to help clinicians understand blood flow and metabolic demands of organ systems, particularly cerebral, renal, and mesenteric blood flow patterns. A NICU unit in the northwestern US adopted NIRS use on their patients in 2008, however, NIRS monitoring usage decreased over the past 5 years, citing a lack of continued education and comfort interpreting and managing NIRS monitored patients. One patient was monitored with NIRS in the year prior to the QI project.</p>
<p>Methods: A 5 point Likert-Type survey was designed to examine provider comfort and confidence using and interpreting NIRS on NICU patients. No Croanbach’s alpha value exists for the survey as it was purposefully designed for the QI project. An educational presentation on the use and interpretation of NIRS on NICU patients was created and delivered during a formal provider staff meeting. Pre and Post education surveys were distributed electronically to participants and were presented 1 week prior to educational session and 1 month after educational session. IBM SPSS version 23 was used for descriptive statistics, paired t tests, and Wilcoxon test. Significance set to p&lt;0.05.</p>
<p>Results: In total, 18 providers (N=18) were surveyed, and 13 paired survey results (n=13) were received (8 MD and 5 NNP). Paired-samples t tests were calculated to compare the mean total score (TS) for pre/post comfort and pre/post confidence. This was a significant improvement for both comfort (t(11) = -3.13, p=0.010) and confidence (t(11) = -3.37, p=0.006). Wilcoxon test showed a significant increase in the times a provider managed a patient with NIRS (z=-2.762, p=0.006). The number NIRS monitored patients increased from one in the previous year to 15 patients in the 5 months of data tracking, a clinically significant increase.</p>
<p>Conclusions: Providing educational session on previously utilized clinical applications can improve providers comfort and confidence and influence their usage in clinical practice. Future continuing education sessions could be designed for different clinical applications in order to keep clinicians abreast of the current evidenced based applications of advanced clinical monitors.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Neonatal intensive care|http://id.loc.gov/authorities/subjects/sh85090799 || Near infrared spectroscopy|http://id.loc.gov/authorities/subjects/sh88002315 || Medical personnel -- In-service training",,,,,,,English,"49 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48623,48623,kpardon1,"05/07/2018 - 19:05",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5678,"|Non-Pharmacological Treatment Approach to   Attention Deficit Hyperactivity Disorder|","<p>Attention Deficit Hyperactivity Disorder (ADHD) impacts as many as 1 in 10 children. ADHD can affect academic performance, social interactions, relationships, and self-esteem.  Pharmacological interventions with the use of stimulant medication is the first line of treatment. Children who do not respond to medication trials and suffer adverse side effects need alternative treatment options to manage symptoms. New and immerging treatment options being studied to determine efficacy for symptom management is cognitive behavior therapy, social skills training, exercise and neuro feedback.  They represent alternative options for non-pharmacological treatment. Evidence supports the use of these treatment options alone, or in conjunction with medication management. The evidence has led to an evidence base practice project conducted in a psychiatric outpatient clinic using Play Attention technology and quantitative behavior testing to determine the effectiveness of neurofeedback in treating children and adolescents with ADHD.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Attention-deficit hyperactivity disorder -- Alternative treatment",,,,,,,English,"36 pages",,,,https://hdl.handle.net/2286/R.I.50062,50062,kpardon1,"07/19/2018 - 13:29",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5679,"|Open-Access Scheduling|","<p>Declaration of Conflicts: This project has no conflicts of interest to declare.</p>
<p>Context:  This project was completed at a federally qualified primary healthcare clinic in Phoenix, Arizona that served patients of all age groups, but primarily cared for the Hispanic population providing primary care, preventative services, family planning, two lab technicians, one promoter, two medical assistant supervisors, five front desk staff, one chief administrative officer, one chief financial officer, two medical directoers who were also providers at the clinic.</p>
<p>Problem and Analysis Assessment: During my clinical rotations, I saw the burden a missed patient appointment had not only on the patients themselves, but also on the clinic, providers, and the staff.  It caused delay in treatment for patients, and it did not allow other patients that wanted to be seen to be seen.  It also increased unnecessary costs and wasted provider time.  Thereafter, I met with some of the leadership team and one of the medical directors to determine a solution to reduce the number of missed appointments that were occurring.  An educational session was kept to discuss the findings of this problem to the providers and the staff and when surveys were handed out to the patients, providers, and staff to assess their satisfaction with the old scheduling system versus the new scheduling system, they were also provided with a cover letter discussing the project.</p>
<p>Intervention: In order for improvements in care to occur, a system process change including the way patients are scheduled must occur.  In this case, an open-access scheduling system (OAS) was implemented.  OAS allows a patient to schedule an appointment on the 'same-day' or the 'next-day' to be seen.  One provider at each of the clinics, each day of the week was available for 'same-day' appointments from 1300-1600.  The providers were still available for scheduled appointments using the previous scheduling method.  Walk-ins were still accepted, and were scheduled based on patient provider preference; however, if an appointment was not available for their preferred provider, they were typically seen with the provider that was the 'same-day' provider for that day.</p>
<p>Strategy for change:  Since patients were only allowed to schedule appointments one month in advance, only one month was needed to implement this process change.  A recommendation for the future would be to clearly identify the patient encounter type, and label it as a same-day appointment, as this would be helpful when gathering and extracting data for this type of patient group specifically.</p>
<p>Measurement of Improvement:  Over a three-month period, a data collection plan was used to determine the number of Mas over a three-month period before and after implementation of this change.  Satisfaction scores were measured using likert scales for patients, provider, and staff, and a dichotomous scale was used to determine the likelihood of emergency room or urgent care use.  A comparison was done to measure revenue during the same time frame.  During the three months, a clinically significant decrease in MAs was seen (&lt;0.52%), with an increase in revenue by 41%.  Additionally, a statistically significant increase in patient, provider and staff satisfaction was also noted when compared to the old scheduling system, as &gt;68% of all patients, providers and staff reported feeling either very satisfied or extremely satisfied with the new scheduling system.  Additionally, patients also reported that they were less likely to visit an emergency room(88%) or urgent care (90%) since they were able to be seen the same-day or the next-day by a provider.</p>
<p>Effects of changes: An incidental finding occurred during this study - where 877 more patients were seen in the three months during the implementation of this project, compared to the three months prior; which likely resulted in a 41% increase in revenue.  Additionally this project, allowed patients that wanted to be seen on the same day, to be seen, and it decreased unnecessary costs associated with emergency room or urgent care visits.  Some of the limitations involved included the current political environment, appointment slots that were previously 15 minutes in length (in 2016), increased to 20 minutes in length (in 2017), a language barrier was noted for the patient surveys since English was not the first language for many of the patients who completed the survey (although documents were translated), and the surveys used were not reliable instrument given that a reliable instrument in previous studies could not be found.</p>
<p>Lessons learnt:  In order to have accuracy of the survey results, it is best for the author of the study to hand out and provide scripture for the survey so that complete data is received from the surveyors.</p>
<p>Messages for others: Begin by making a small process change where only one provider allows for the open-access scheduling so that the entire office is not affected by it, and if results begin to look promising then it can be expanded.  Additionally, correct labeling of patients as 'same-day' is also important so that additional data can be gathered when needed regarding the 'same-day' patients.</p>
<p>Patient/Family/Guardian Involvement:  Patients who benefited from the new scheduling system (open-access scheduling) were asked to fill out a survey that asked them to disclose some demographic data and asked them to determine their satisfaction with the new vs old scheduling system and their likelihood of visiting an emergency room or urgent care.</p>
<p>Ethics Approval: Arizona State University Institutional Review Board (IRB) Received: September 2017</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Medical appointments and schedules|http://id.loc.gov/authorities/subjects/sh85082860 || Clinics -- Utilization",,,,,,,English,"62 pages",,"In Copyright",Attribution-NonCommercial,https://hdl.handle.net/2286/R.I.48650,48650,kpardon1,"05/09/2018 - 12:22",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5680,"|Opioid Management|Provider Education","<p>Over the last two decades, opioid prescription and prevalence has increased to account for over 33,000 deaths per year (Soelberg, Brown, Du Vivier, Meyer &amp; Ramachandran, 2017). This is not only due to overdose, but misuse, abuse, and addiction. The abrupt increase in prescriptions, pills dispensed, and opioid-related deaths have encouraged the involvement of multiple entities. In 2016, the opioid crisis gained the attention of communities that released guidelines to regulate prescription of opioid pain management. Such entities include the Center for Disease Control and Prevention (CDC), National Institute on Drug Abuse, Agency for Healthcare Research and Quality (AHRQ), Arizona Department of Health Services (AZDHS), and Substance Abuse and Mental Health Services Administration (SAMHSA). Evidence shows that prescribing practices between providers vary. It also shows that providers lack knowledge of appropriate opioid prescribing and management. To address this problem, provider education on an opioid policy is the most effective way to uniform opioid prescribing.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Opoids || Medical personnel -- In-service training",,,,,,,English,"31 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53392,53392,kpardon1,"05/09/2019 - 15:01",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5681,"|Oral Dextrose Gel in the Treatment of Neonatal Hypoglycemia|An Evidence Based Practice Change","<p>Background: Neonatal hypoglycemia (NH) is a common problem in the newborn period that resolves by 24-48 hours of life.  Infants with known NH risk factors take longer to achieve blood glucose homeostasis.  The leading cause of neonatal intensive care unit (NICU) admissions in otherwise healthy term and late preterm infants is NH.</p>
<p>Purpose: To determine the efficacy of dextrose gel in addition to oral feedings in NH treatment as compared to the previous practice of oral feedings alone.  Lewin's change theory was used in staff education and project implementation.</p>
<p>Methods/Search Strategy: A keyword search of CINHAL, Cochrane, and PubMed with restrictions to English and publications within 5 years revealed supportive data for the practice change.  IRB approval obtained prior to the practice change. Nurses screened all newborns for NH risk factors at birth at a tertiary hospital in the southwestewrn U.S. Infants with specific criteria received oral dextrose gel with timed follow-up blood glucose levels following an NH algorithm.</p>
<p>Findings/Results:  Two groups of infants with similar gestational ages, birth weights, and risk factors for NH were compared pre and post-implementation of the EBP change.  Inftants in the first group (n=27) were all born prior to the start of the project and therefore were all treated with IV dextrose in the NICU after failing to maintain blood glucose levels within normal ranges with oral feedings alone.  The second group of infants (n=27) was treated based on an updated NH algorithm after implementation of the use of oral dextrose gel.  Of those 27 infants, 24 received oral dextrose gel for NH treatment.  Of resipratory distress in addition to NH so these infants were excluded in the statistical analysis of NICU admissions.  Therefore the post-implementation group only had 2 admission for primary diagnosis of NH.  When comparing admission rates for hypoglycemia between the two groups, the first group had a 100% admission rate while the second group (those who received oral dextrose gel) only had a 9% admission rate for neonatal hypoglycemia (p&lt;0.001).<br />Upon further investigation it was found that these 2 infants admitted to the NICU with the diagnosis of NH had multiple risk factors present, including being infants of diabetic mothers which means they likely experienced refractory hypoglycemia after treatment with oral dextrose gel secondary to hyperinsulinism.  Hyperinsulinism can lead to persistent and profound hypoglycemia in the newborn that is more difficult to treat, which is of clinical significance.</p>
<p>Implications for Practice:  Early identification with timely follow-up blood glucose levels following intervention may be critical to successful treatment without requiring NICU admission.  Nursing education and parental support are also paramount to success.  If the change in NICU admissions for NH is statistically significant with a larger sample size, results may be shared with other facilities that traditionally transfer these infants for a higher level of care.</p>
<p>Implications for Research:  Studies with larger sample size may generate more generalizable data with fewer outliers.  Studies comparing neurodevelopmental outcomes among infants who received different NH treatments are necessary to determine long-term safety.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Hypoglycemia in newborn infants|http://id.loc.gov/authorities/subjects/sh89007081 || Hypoglycemic agents|http://id.loc.gov/authorities/subjects/sh85063785 || Dextrose|http://id.loc.gov/authorities/subjects/sh85037427 || Oral medication|http://id.loc.gov/authorities/subjects/sh85095244",,,,,,,English,"23 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48985,48985,kpardon1,"05/30/2018 - 18:13",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5682,"|Patient Education and Medication Adherence|","<p>Purpose/Aims: The purpose of this project was to evaluate how patient education can improve medication adherence.<br />Background and Significance: An exhaustive literature search was conducted with critical appraisal and evidence synthesis to evaluate the effectiveness of patient education on medication adherence. The search concluded that adherence is crucial to chronic disease processes. However, there was no one intervention that emerged as being superior for improving medication<br />adherence. Working with patients individually to address needs through a variety of methods appeared was the best way to improve medication non-adherence.<br />Methods: A project to improve medication adherence in an outpatient mental health clinic incorporated electronic medical record (EMR) technology with patient education materials. The project evaluated provider satisfaction with the EMR handout system and evaluated providers’ perceptions of improved medication adherence. Providers (n=9) were followed for eight weeks once system was live. Appraisal was conducted on the providers and pre-test, mid project test, and an eight week post-test were administered. The instrument used was the Technology Acceptance Model-2 (TAM-2).<br />Outcomes: Friedman Test was conducted. Results obtained showed no significant difference between the three tests (χ2 (2) =2.889, p&gt;0.05). The pretest had a standard deviation of 14.24. The posttest standard deviation was 23.75.<br />Conclusion: Providers educate patients about a variety of topics such as chronic conditions and wellness. It is beneficial to focus on education more broadly, instead of only medication adherence.<br />Keywords: patient education, medication adherence, physician perceptions</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Patient compliance|http://id.loc.gov/authorities/subjects/sh85098702 || Patient education|http://id.loc.gov/authorities/subjects/sh85098703",,,,,,,English,"54 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.37834,37834,Anonymous,"04/26/2016 - 21:43",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5683,"|Patient Portals|An Educational Project to Improve Provider Readiness","<p>Background: With the adoption of the Health Information Technology for Economical and Clinical Health (HITECH) Act of 2009, came the implementation of the electronic health record (EHR) and incentivized provider programs called Meaningful Use (MU). A goal of MU is to utilize patient portals to improve access to care. Current evidence supports patient portal use however providers are concerned about increased work load and lost revenue because of the time spent managing the portals rather than providing direct, billable patient care.  </p>
<p>Purpose: The purpose of this project was to assess provider readiness for patient portals and provide an educational intervention to address perceived barriers. </p>
<p>Method: Ten providers at a large family practice clinic in the southwest United States were surveyed using The Provider Readiness Questionnaire prior to and after an educational intervention addressing common concerns. </p>
<p>Results: Improved response to patient portal use after the provider viewed the learning module. A paired-samples t-test was conducted to compare pre-and post-intervention responses. There was a statistically significant difference in the scores for the question “increase my workload” Pretest (M= 3.78, SD=1.201) and; Posttest (M=2.67, SD=1.225) ;(t (8) =5.547, p = .001). There was also a statistically significant difference for the question “increased provider professional satisfaction” Pretest (M=3.89, SD= .333) and Posttest (M= 4.44, SD=.527); t (8) = -2.294, p=.051). </p>
<p>Implications: Providing education addressing perceived barriers to portal use can assist the provider in understanding the value of the portals to improve patient outcomes and address common concerns about the impact of portal use on provider productivity.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Medical telematics|http://id.loc.gov/authorities/subjects/sh94007874 || Health services administration|http://id.loc.gov/authorities/subjects/sh85059600",,,,,,,English,"12 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43652,43652,kpardon1,"05/17/2017 - 16:42",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5684,"|Pediatric Asthma Guidelines and Provider Educational Sessions|","<p>Purpose and Aims: An Asthma Project team was assembled and created an Asthma Clinical Practice guideline with the most current literature.  The purpose of the Doctor of Nursing Practice (DNP) project is to introduce the Asthma Clinical Practice guidelines and discuss how to maintain a reliable system to sustain positive change created by implementing the project.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Asthma in children|http://id.loc.gov/authorities/subjects/sh85008863 || Medical protocols|http://id.loc.gov/authorities/subjects/sh85083005",,,,,,,English,"27 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.38100,38100,Anonymous,"05/06/2016 - 13:31",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5685,"|Pediatric Delirium Prevention using Nonpharmacological Bundles|","<p>Introduction: Pediatric delirium has a 25% prevalence rate in the pediatric intensive care unit (PICU). The project purpose was to implement a nonpharmacological nursing bundle in the PICU to assess the effects on delirium reduction.</p>
<p>Method: A nonpharmacological nursing bundle was implemented for PICU patients, 2-18 years of age, admitted to an Arizona metropolitan, children’s hospital. Data was collected using the Cornell Assessment of Pediatric Delirium (CAP-D) screening tool. </p>
<p>Results: Prebundle CAP-D and postbundle CAP-D scores (M=5.57, SD=5.78; M=7.10, SD=5.61) did not differ among the participants. Prebundle participants required an intervention 26.7% of the time for delirium compared to 31.6% in the postbundle population. No statistical significance was seen between the prebundle and the postbundle CAP-D scores t(59)=7.46; t(205)=18.17 (P=0.08, fisher’s exact test).</p>
<p>Discussion: Nonpharmacological bundles for delirium prevention are needed in the PICU. This project shows that significant barriers exist when implementing them in a complex pediatric environment.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Delirium|http://id.loc.gov/authorities/subjects/sh85036579 || Children -- Diseases -- Alternative treatment || Nursing care plans|http://id.loc.gov/authorities/subjects/sh85093387",,,,,,,English,"21 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48484,48484,kpardon1,"04/30/2018 - 15:11",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5686,"|Pediatric Shoulder Rehabilitation|","<p>Objectives<br />As a result of increased participation in competitive sports, shoulder instability, subluxations, and dislocations are common injuries in the adolescent athlete. These injuries worsen when athletes over train, make physical contact, and do not take enough time for rest between injuries. Protocols and therapies need to be implemented to prevent subsequent injuries, including progressive measurement of rehabilitation and return to play (RTP) outcomes. The goal of treatment for these athletes is to return them to their previous level of performance and prevent re-injury. </p>
<p>The purpose of this quality improvement evidence-based project was to determine if the use of the Pediatric Adolescent Shoulder Survey (PASS) affects return to play. The aims of this project were to determine if there was a change in return to play (RTP) outcomes, compare length of RTP between operative and non-operative groups, and determine if PASS scores improved over time.</p>
<p>Methods<br />The PASS is a 13 item, patient reported outcomes (PROs) survey assessing symptoms, limitations, compensatory mechanisms, and emotional distress. It is reliable and valid for athletes who have acute shoulder injuries and decreased range of motion or strength. </p>
<p>After obtaining Institutional Review Board (IRB) approval from the institution and university, providers at a southwestern sports medicine clinic were educated on administration and scoring of the survey. Surveys were administered to athletes ages 8-18 who presented with shoulder injuries at intervals. Retrospective and prospective chart reviews were obtained at baseline (control group) and post intervention (intervention group). Return to play (RTP) days and Pediatric Adolescent Shoulder Survey scores were recorded.</p>
<p>Results <br />Independent t-tests were calculated to compare mean RTP days from control and intervention groups, RTP for operative and non-operative groups within the control and intervention groups. Statistically significant t (20) = -2.827, p = 0.03) differences were noted between operative group for the intervention group, (n=9), M=136.00 (SD=51.49) days vs non-operative group, M= 83.68 (SD=31.78) days. No statistically significant difference between control group M =118.68 (SD=55.95) days and intervention group M=107.52 (48.77) days was noted. PASS scores showed improvement over time. </p>
<p>Conclusion<br />The PASS instrument may positively affect RTP. There was a significant change in RTP for the whole group. Non-operative patients RTP sooner than operative for the whole sample. PASS scores improved over time for all patients.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Shoulder -- Wounds and injuries || Sports injuries -- Patients -- Rehabilitation || Sports injuries in children|http://id.loc.gov/authorities/subjects/sh93010061 || Outcome assessment (Medical care)|http://id.loc.gov/authorities/subjects/sh94002382",,,,,,,English,"22 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48524,48524,kpardon1,"05/02/2018 - 13:09",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5687,"|Perceived Social Support and Quality of Life among Clients Participating in Cancer Support Services|","<p>Purpose:  To collect and analyze participant demographic information and explore use of instruments to measure perceived social support and quality of life at a local cancer support program. Specific objectives included: 1) Gather and analyze participant demographic information and program utilization by participants for a non-profit cancer support agency, 2) Assess the extent to which those using the support programs experience perceived social support (PSS) and quality of life (QOL), and 3) Assess the utility of the survey process and selected instruments to guide program planning.<br />Background: Obtaining the diagnosis of cancer is traumatic, but support groups assist in emotional healing among group members. There is strong evidence correlating support group participation with PSS and QOL. The Wilson and Cleary model of QOL clearly links social support and QOL and provided the conceptual framework for this project. <br />Methods: A survey for self-reported participant demographics, support activities, QOL scores, and PSS scores was implemented. Both online and pencil and paper surveys were available. Instruments included the Flanagan Quality of Life Scale (Cronbach’s α = .82 to .92) and the Multidimensional Scale of Perceived Social Support Scale (Cronbach’s α = 0.91) and a demographic survey created for this project. <br />Outcomes: All but one survey was completed online (n=48).  Respondents were primarily white, female, cancer free at the time of the survey, and over the age of 55. QOL and PSS scores within this sample emulated previous research of correlations between instruments and people with chronic illnesses. <br />Conclusion: Correlations of sample demographics and instrument scores reflected current literature; this project validates an effective and affordable means to evaluate program effectiveness. Future use of the survey is to better tailor services to meet the objectives of the agency <br />to improve QOL for all individuals affected by cancer.</p>
<p>Keywords: Cancer, support group, quality of life, perceived social support</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Cancer -- Patients || Self-help groups|http://id.loc.gov/authorities/subjects/sh85119757",,,,,,,English,"68 pages",,"In Copyright",Attribution-NonCommercial,https://hdl.handle.net/2286/R.I.38109,38109,Anonymous,"05/06/2016 - 17:21",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5688,"|Pilot Psychosocial Screening Protocol in Children with Congenital Heart Disease|","<p>Children with congenital heart disease (CHD) are at increased risk for psychosocial issues (PSI), decreased quality of life (QOL), and decreased resilience. The purpose of this project was to implement a screening protocol for PSI, QOL, and resilience, with appropriate psychosocial referral for children with CHD. <br />A pilot protocol was implemented to screen children with CHD, aged 8-17 years, and parents, for resilience, QOL, and PSI. Referrals for psychosocial services were made for 84.2% of children screened (n = 16) based on scoring outcomes. Statistically significant differences in the parents and children’s resilience mean scores were noted. Higher parental scores may indicate that parents believe their children are more resilient than the children perceive themselves to be.<br />Early identification of concerns regarding QOL, resilience, and PSI in children with CHD can provide ongoing surveillance, while affording opportunities for improved communication between providers, parents, and children. Routine screening and longitudinal follow-up is recommended.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Congenital heart disease in children|http://id.loc.gov/authorities/subjects/sh89000802 || Child mental health services|http://id.loc.gov/authorities/subjects/sh85023374 || Mental status examination|http://id.loc.gov/authorities/subjects/sh93000862",,,,,,,English,"46 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48621,48621,kpardon1,"05/07/2018 - 17:13",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5689,"|Preoperative Education for Patients Undergoing Spine Surgery|","<p>Low back pain is a worldwide health problem.  Preoperative education is essential to provide patients with information across the continuum of care. Gaps exist among healthcare organizations regarding deficiencies in properly educating patients about their surgical experience. The lack of proper preoperative education can negatively impact reimbursement for healthcare systems, providers, and patient outcomes.  In a large metropolitan tertiary care center providing spine surgery, an evidence-based project was implemented.  A self-developed pre and post intervention surveys was given assessing patients’ knowledge and surgical expectations after surgery. A tri-fold education pamphlet was given to the participants with information that included detailed information regarding expectations before and after surgery.  Descriptive statistics were used to describe the sample and outcome variable. An increase in knowledge in expectations after surgery was noted from pre-intervention (mean 1.83, SD .408) to post-intervention (mean 1.67, SD .816) with a Cohen’s D of 0.248 although this was not statistically significant. However, the change in average length of stay (LOS) was significant.  The average LOS for the project participants dropped from 4.54 days to 2.833 days which is within the Centers for Medicare and Medicaid Services (CMS) guidelines of 2.92 days for this surgical population.  In conclusion, an increased in patients’ knowledge regarding expectations following surgery and decreased LOS was seen for the project participants.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Spine -- Surgery || Preoperative education|http://id.loc.gov/authorities/subjects/sh2006001991",,,,,,,English,"58 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.54064,54064,kpardon1,"05/31/2019 - 15:25",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
